4,tv,online
5,tv,online
10,wire,online
16,tv,online
18,radio,online
19,online,
20,online,
26,magazine,
28,radio,
31,newspaper,
37,newspaper,
39,online,
41,newspaper,online
43,wire,online
44,newspaper,
45,magazine,online
49,tv,
53,newspaper,
55,tv,online,radio,wire
65,wire,online,tv
68,blog,
69,newspaper,online
70,newspaper,
83,magazine,
86,blog,
89,tv,
90,wire,
254414,wire,
96,tv,online,radio
97,online,
102,newspaper,
103,newspaper,
104,newspaper,
108,newspaper,online
109,newspaper,
110,newspaper,
118,newspaper,online
119,online,
120,tv,online,radio
125,online,
131,magazine,
150,blog,
159,newspaper,
161,tv,
162,newspaper,
163,newspaper,
165,newspaper,
1791,newspaper,
176,tv,
177,newspaper,
178,magazine,
181,newspaper,
183,radio,online,tv
184,blog,online
192,online,
193,magazine,online
209,tv,
211,tv,
212,online,
214,magazine,
216,newspaper,online
218,blog,
2907,online,blog
220,magazine,online
222,magazine,
223,magazine,
226,tv,
230,radio,
232,tv,online
235,online,
240,online,
243,blog,
4434,online,
244,newspaper,
250,online,
252,newspaper,
255,magazine,
266,newspaper,online
268,online,blog
282,blog,
290,wire,
305,newspaper,
315,newspaper,
326,newspaper,online
331,tv,
334,newspaper,magazine,online
339,online,
1223,,
341,wire,
345,online,
347,tv,
350,newspaper,online
3922,magazine,online
358,newspaper,
360,magazine,
362,radio,
365,magazine,
368,tv,
375,magazine,
376,magazine,
380,magazine,online
381,magazine,
382,tv,online
388,online,
392,magazine,
393,magazine,online
394,newspaper,
395,magazine,online
397,newspaper,
398,newspaper,
399,newspaper,blog,online,wire
400,magazine,
404,blog,
408,tv,
413,magazine,online
414,online,
379,radio,online
428,online,
443,online,
448,online,
450,newspaper,online
452,newspaper,
5837,online,
455,online,
457,magazine,
461,blog,
462,online,
470,online,
476,online,blog,magazine
478,radio,
483,radio,
487,newspaper,
490,blog,online
491,blog,
492,blog,
493,magazine,
499,wire,online
1835,blog,
505,magazine,online,radio
510,newspaper,
511,online,
512,newspaper,
513,newspaper,
515,newspaper,online
517,newspaper,
523,blog,
525,magazine,
531,newspaper,
532,newspaper,online
548,online,magazine,radio
559,newspaper,
564,newspaper,
566,blog,
571,blog,
3916,online,other
578,newspaper,
579,magazine,
3093,online,
600,newspaper,online
601,newspaper,online
603,newspaper,
607,blog,
609,magazine,
611,newspaper,
612,magazine,
1629,newspaper,
613,tv,
614,newspaper,
615,blog,
616,newspaper,online,radio,tv
619,tv,
627,magazine,
631,blog,
632,tv,
633,magazine,online
635,newspaper,
637,online,
639,newspaper,
640,online,
642,blog,
645,online,
648,magazine,
654,wire,
244751,magazine,
656,newspaper,online
658,magazine,online
662,newspaper,
665,tv,
666,newspaper,online
668,online,
669,magazine,
671,newspaper,blog,online
672,newspaper,online
674,magazine,
186886,online,
677,online,
678,online,
680,magazine,blog,online
691,wire,
693,online,
